Codigo;CodigoAsignatura;NEstudiantes;Tipo(L/T);Idioma(EN/ES)
SO.L.3;SO;19;L;ES
SO.L.4;SO;18;L;ES
SO.L.5;SO;18;L;ES
SO.L.6;SO;18;L;ES
SO.L.7;SO;18;L;ES
SO.L.I-1;SO;12;L;EN
SO.L.I-2;SO;13;L;EN
SO.L.I-3;SO;12;L;EN
SO.L.I-4;SO;12;L;EN
SO.L.I-5;SO;10;L;EN
SO.S.1;SO;42;T;ES
SO.S.2;SO;43;T;ES
SO.S.3;SO;42;T;ES
SO.S.I-1;SO;25;T;EN
SO.S.I-2;SO;24;T;EN
SO.T.1;SO;64;T;ES
SO.T.2;SO;63;T;ES
SO.T.I-1;SO;49;T;EN
SSI.L.1;SSI;11;L;ES
SSI.L.2;SSI;12;L;ES
SSI.L.3;SSI;13;L;ES
SSI.L.4;SSI;12;L;ES
SSI.L.5;SSI;14;L;ES
SSI.L.6;SSI;13;L;ES
SSI.L.I-1;SSI;11;L;EN
SSI.L.I-2;SSI;11;L;EN
SSI.L.I-3;SSI;12;L;EN
SSI.S.1;SSI;37;T;ES
SSI.S.2;SSI;38;T;ES
SSI.S.I-1;SSI;16;T;EN
SSI.S.I-2;SSI;18;T;EN
SSI.S.I-3;SSI;15;T;EN
SSI.T.1;SSI;75;T;ES
SSI.T.I-1;SSI;34;T;EN
TPP.L.1;TPP;16;L;ES
TPP.L.2;TPP;17;L;ES
TPP.L.3;TPP;15;L;ES
TPP.L.4;TPP;17;L;ES
TPP.L.5;TPP;17;L;ES
TPP.L.6;TPP;16;L;ES
TPP.L.7;TPP;16;L;ES
TPP.L.I-1;TPP;12;L;EN
TPP.L.I-2;TPP;12;L;EN
TPP.L.I-3;TPP;11;L;EN
TPP.L.I-4;TPP;12;L;EN
TPP.S.1;TPP;38;T;ES
TPP.S.2;TPP;38;T;ES
TPP.S.3;TPP;38;T;ES
TPP.S.I-1;TPP;23;T;EN
TPP.S.I-2;TPP;24;T;EN
TPP.T.1;TPP;57;T;ES
TPP.T.2;TPP;57;T;ES
TPP.T.I-1;TPP;47;T;EN
