Codigo;CodigoAsignatura;NEstudiantes;Tipo(L/T);Idioma(EN/ES)
AMD.L.1;AMD;13;L;ES
AMD.L.2;AMD;13;L;ES
AMD.L.3;AMD;13;L;ES
AMD.L.4;AMD;14;L;ES
AMD.L.5;AMD;15;L;ES
AMD.L.6;AMD;14;L;ES
AMD.L.7;AMD;13;L;ES
AMD.L.8;AMD;18;L;ES
AMD.L.I-1;AMD;13;L;EN
AMD.L.I-2;AMD;13;L;EN
AMD.L.I-3;AMD;14;L;EN
AMD.L.I-4;AMD;13;L;EN
AMD.S.1;AMD;28;T;ES
AMD.S.2;AMD;28;T;ES
AMD.S.3;AMD;29;T;ES
AMD.S.4;AMD;28;T;ES
AMD.S.I-1;AMD;27;T;EN
AMD.S.I-2;AMD;26;T;EN
AMD.T.1;AMD;56;T;ES
AMD.T.2;AMD;57;T;ES
AMD.T.I-1;AMD;53;T;EN
ASLEPI.L.1;ASLEPI;16;L;ES
ASLEPI.L.2;ASLEPI;16;L;ES
ASLEPI.L.3;ASLEPI;16;L;ES
ASLEPI.L.4;ASLEPI;15;L;ES
ASLEPI.L.5;ASLEPI;16;L;ES
ASLEPI.L.6;ASLEPI;17;L;ES
ASLEPI.L.7;ASLEPI;16;L;ES
ASLEPI.S.1;ASLEPI;37;T;ES
ASLEPI.S.2;ASLEPI;37;T;ES
ASLEPI.S.3;ASLEPI;38;T;ES
ASLEPI.T.1;ASLEPI;56;T;ES
ASLEPI.T.2;ASLEPI;56;T;ES
ASR.L.1;ASR;16;L;ES
ASR.L.2;ASR;15;L;ES
ASR.L.3;ASR;14;L;ES
ASR.L.4;ASR;12;L;ES
ASR.L.5;ASR;15;L;ES
ASR.L.6;ASR;13;L;ES
ASR.L.7;ASR;14;L;ES
ASR.S.1;ASR;35;T;ES
ASR.S.2;ASR;33;T;ES
ASR.S.3;ASR;32;T;ES
ASR.T.1;ASR;50;T;ES
ASR.T.2;ASR;50;T;ES
ASW.L.1;ASW;14;L;ES
ASW.L.2;ASW;14;L;ES
ASW.L.3;ASW;13;L;ES
ASW.L.4;ASW;14;L;ES
ASW.L.5;ASW;13;L;ES
ASW.L.6;ASW;14;L;ES
ASW.L.I-1;ASW;11;L;EN
ASW.L.I-2;ASW;11;L;EN
ASW.L.I-3;ASW;11;L;EN
ASW.S.1;ASW;27;T;ES
ASW.S.2;ASW;28;T;ES
ASW.S.3;ASW;27;T;ES
ASW.S.I-1;ASW;33;T;EN
ASW.T.1;ASW;82;T;ES
ASW.T.I-1;ASW;33;T;EN
Alg.L.1;Alg;16;L;ES
Alg.L.2;Alg;17;L;ES
Alg.L.3;Alg;17;L;ES
Alg.L.4;Alg;17;L;ES
Alg.L.5;Alg;16;L;ES
Alg.L.6;Alg;16;L;ES
Alg.L.7;Alg;17;L;ES
Alg.L.I-1;Alg;14;L;EN
Alg.L.I-2;Alg;12;L;EN
Alg.L.I-3;Alg;12;L;EN
Alg.L.I-4;Alg;12;L;EN
Alg.S.1;Alg;39;T;ES
Alg.S.2;Alg;38;T;ES
Alg.S.3;Alg;39;T;ES
Alg.S.I-1;Alg;25;T;EN
Alg.S.I-2;Alg;25;T;EN
Alg.T.1;Alg;58;T;ES
Alg.T.2;Alg;58;T;ES
Alg.T.I-1;Alg;50;T;EN
BD.L.1;BD;17;L;ES
BD.L.2;BD;17;L;ES
BD.L.3;BD;17;L;ES
BD.L.4;BD;17;L;ES
BD.L.5;BD;18;L;ES
BD.L.6;BD;19;L;ES
BD.L.7;BD;17;L;ES
BD.L.I-1;BD;13;L;EN
BD.L.I-2;BD;14;L;EN
BD.L.I-3;BD;14;L;EN
BD.L.I-4;BD;13;L;EN
BD.S.1;BD;41;T;ES
BD.S.2;BD;40;T;ES
BD.S.3;BD;41;T;ES
BD.S.I-1;BD;27;T;EN
BD.S.I-2;BD;27;T;EN
BD.T.1;BD;61;T;ES
BD.T.2;BD;61;T;ES
BD.T.I-1;BD;54;T;EN
CN.L.1;CN;17;L;ES
CN.L.2;CN;20;L;ES
CN.L.3;CN;15;L;ES
CN.L.4;CN;15;L;ES
CN.L.5;CN;16;L;ES
CN.L.6;CN;16;L;ES
CN.L.I-1;CN;11;L;EN
CN.L.I-2;CN;11;L;EN
CN.L.I-3;CN;10;L;EN
CN.L.I-4;CN;10;L;EN
CN.S.1;CN;33;T;ES
CN.S.2;CN;33;T;ES
CN.S.3;CN;33;T;ES
CN.S.I-1;CN;22;T;EN
CN.S.I-2;CN;20;T;EN
CN.T.1;CN;49;T;ES
CN.T.2;CN;50;T;ES
CN.T.I-1;CN;42;T;EN
DLP.L.1;DLP;13;L;ES
DLP.L.2;DLP;14;L;ES
DLP.L.3;DLP;13;L;ES
DLP.L.4;DLP;14;L;ES
DLP.L.5;DLP;13;L;ES
DLP.L.6;DLP;13;L;ES
DLP.L.7;DLP;13;L;ES
DLP.L.8;DLP;14;L;ES
DLP.L.9;DLP;14;L;ES
DLP.L.I-1;DLP;9;L;EN
DLP.L.I-2;DLP;11;L;EN
DLP.L.I-3;DLP;11;L;EN
DLP.L.I-4;DLP;12;L;EN
DLP.S.1;DLP;32;T;ES
DLP.S.2;DLP;30;T;ES
DLP.S.3;DLP;30;T;ES
DLP.S.4;DLP;30;T;ES
DLP.S.I-1;DLP;27;T;EN
DLP.S.I-2;DLP;16;T;EN
DLP.T.1;DLP;61;T;ES
DLP.T.2;DLP;61;T;ES
DLP.T.I-1;DLP;43;T;EN
DPPI.L.1;DPPI;16;L;ES
DPPI.L.2;DPPI;16;L;ES
DPPI.L.3;DPPI;16;L;ES
DPPI.L.4;DPPI;16;L;ES
DPPI.L.5;DPPI;17;L;ES
DPPI.L.6;DPPI;15;L;ES
DPPI.L.7;DPPI;17;L;ES
DPPI.S.1;DPPI;38;T;ES
DPPI.S.2;DPPI;38;T;ES
DPPI.S.3;DPPI;37;T;ES
DPPI.T.1;DPPI;56;T;ES
DPPI.T.2;DPPI;57;T;ES
Est.L.1;Est;13;L;ES
Est.L.2;Est;14;L;ES
Est.L.3;Est;13;L;ES
Est.L.4;Est;14;L;ES
Est.L.5;Est;14;L;ES
Est.L.6;Est;13;L;ES
Est.L.7;Est;13;L;ES
Est.L.8;Est;14;L;ES
Est.L.9;Est;11;L;ES
Est.L.I-1;Est;16;L;EN
Est.L.I-2;Est;15;L;EN
Est.L.I-3;Est;17;L;EN
Est.L.I-4;Est;16;L;EN
Est.S.1;Est;46;T;ES
Est.S.2;Est;36;T;ES
Est.S.3;Est;36;T;ES
Est.S.I-1;Est;32;T;EN
Est.S.I-2;Est;32;T;EN
Est.T.1;Est;60;T;ES
Est.T.2;Est;59;T;ES
Est.T.I-1;Est;64;T;EN
FCR.L.1;FCR;14;L;ES
FCR.L.2;FCR;14;L;ES
FCR.L.3;FCR;13;L;ES
FCR.L.4;FCR;14;L;ES
FCR.L.5;FCR;15;L;ES
FCR.L.6;FCR;15;L;ES
FCR.L.7;FCR;15;L;ES
FCR.L.8;FCR;14;L;ES
FCR.L.9;FCR;13;L;ES
FCR.L.I-1;FCR;16;L;EN
FCR.L.I-2;FCR;15;L;EN
FCR.L.I-3;FCR;17;L;EN
FCR.L.I-4;FCR;17;L;EN
FCR.S.1;FCR;31;T;ES
FCR.S.2;FCR;33;T;ES
FCR.S.3;FCR;32;T;ES
FCR.S.4;FCR;32;T;ES
FCR.S.I-1;FCR;32;T;EN
FCR.S.I-2;FCR;33;T;EN
FCR.T.1;FCR;64;T;ES
FCR.T.2;FCR;64;T;ES
FCR.T.I-1;FCR;65;T;EN
MP.L.1;MP;13;L;ES
MP.L.2;MP;14;L;ES
MP.L.3;MP;13;L;ES
MP.L.4;MP;14;L;ES
MP.L.5;MP;14;L;ES
MP.L.6;MP;15;L;ES
MP.L.7;MP;13;L;ES
MP.L.8;MP;14;L;ES
MP.L.9;MP;13;L;ES
MP.L.10;MP;14;L;ES
MP.L.I-1;MP;15;L;EN
MP.L.I-2;MP;12;L;EN
MP.L.I-3;MP;14;L;EN
MP.L.I-4;MP;13;L;EN
MP.L.I-5;MP;13;L;EN
MP.S.1;MP;47;T;ES
MP.S.2;MP;38;T;ES
MP.S.3;MP;38;T;ES
MP.S.I-1;MP;33;T;EN
MP.S.I-2;MP;34;T;EN
MP.T.1;MP;61;T;ES
MP.T.2;MP;61;T;ES
MP.T.I-1;MP;67;T;EN
OyE.L.1;OyE;11;L;ES
OyE.L.10;OyE;12;L;ES
OyE.L.2;OyE;13;L;ES
OyE.L.3;OyE;11;L;ES
OyE.L.4;OyE;13;L;ES
OyE.L.5;OyE;12;L;ES
OyE.L.6;OyE;14;L;ES
OyE.L.7;OyE;12;L;ES
OyE.L.8;OyE;13;L;ES
OyE.L.9;OyE;12;L;ES
OyE.L.I-1;OyE;14;L;EN
OyE.L.I-2;OyE;14;L;EN
OyE.L.I-3;OyE;13;L;EN
OyE.L.I-4;OyE;12;L;EN
OyE.L.I-5;OyE;9;L;EN
OyE.S.1;OyE;31;T;ES
OyE.S.2;OyE;33;T;ES
OyE.S.3;OyE;30;T;ES
OyE.S.4;OyE;30;T;ES
OyE.S.I-1;OyE;31;T;EN
OyE.S.I-2;OyE;31;T;EN
OyE.T.1;OyE;62;T;ES
OyE.T.2;OyE;62;T;ES
OyE.T.I-1;OyE;62;T;EN
SDI.L.1;SDI;13;L;ES
SDI.L.10;SDI;13;L;ES
SDI.L.2;SDI;14;L;ES
SDI.L.3;SDI;16;L;ES
SDI.L.4;SDI;14;L;ES
SDI.L.5;SDI;13;L;ES
SDI.L.6;SDI;16;L;ES
SDI.L.7;SDI;13;L;ES
SDI.L.8;SDI;14;L;ES
SDI.L.9;SDI;14;L;ES
SDI.S.1;SDI;33;T;ES
SDI.S.2;SDI;33;T;ES
SDI.S.3;SDI;33;T;ES
SDI.S.4;SDI;41;T;ES
SDI.T.1;SDI;70;T;ES
SDI.T.2;SDI;70;T;ES
SO.L.1;SO;18;L;ES
SO.L.2;SO;18;L;ES
