CodigoGrupo;SemanasLectivas
AMD.L.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.2;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.3;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.4;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.5;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.6;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.7;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.8;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.I-1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.I-2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.I-3;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.L.I-4;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.3;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.4;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.I-1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.S.I-2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.T.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.T.2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
AMD.T.I-1;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.3;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.4;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.5;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.6;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.L.7;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASLEPI.S.1;S6,S8,S10,S12,S15,S18
ASLEPI.S.2;S6,S8,S10,S12,S15,S18
ASLEPI.S.3;S6,S8,S10,S12,S15,S18
ASLEPI.T.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16
ASLEPI.T.2;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16
ASR.L.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.2;S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.3;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.4;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.5;S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.6;S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.L.7;S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
ASR.S.1;S4,S6,S8,S10,S12,S15,S17
ASR.S.2;S4,S6,S8,S10,S12,S15,S17
ASR.S.3;S4,S6,S8,S10,S12,S15,S17
ASR.T.1;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15
ASR.T.2;S4,S5,S6,S7,S8,S9,S10,S11,S12,S14,S15
ASW.L.1;S5,S6,S7,S8,S9,S10,S11,S12,S14,S15,S16,S17,S18
