CodigoGrupo;CodigoAula
TEC.L.1;L-16
TEC.L.2;L-16
TEC.L.3;L-16
TEC.L.4;L-16
TEC.L.5;L-16
TEC.L.6;L-16
TEC.L.7;L-16
TEC.L.I-1;L-16
TEC.L.I-2;L-16
TEC.L.I-3;L-16
TEC.L.I-4;L-16
SEV.L.1;L-S-02
SEV.L.2;L-S-02
SEV.L.3;L-S-02
SEV.L.4;L-S-02
SEV.L.5;L-S-02
RAA.L.1;L-S-02
RAA.L.2;L-S-02
IA.L.1;L-S-02
IA.L.2;L-S-02
