CodigoGrupo;Sentido;CodigoAula
IFA.L.1;P;L-S-01
IFA.L.2;P;L-S-01
IFA.L.3;P;L-S-01
IFA.L.1;P;L-S-02
IFA.L.2;P;L-S-02
IFA.L.3;P;L-S-02
IFA.L.1;P;L-01
IFA.L.2;P;L-01
IFA.L.3;P;L-01
IFA.L.1;P;L-03
IFA.L.2;P;L-03
IFA.L.3;P;L-03
IFA.L.1;P;L-11
IFA.L.2;P;L-11
IFA.L.3;P;L-11
