CodigoGrupo;Sentido;CodigoAula
ASR.L.+;P;L-S-01,L-S-02,L-01,L-03,L-11
SSI.L.+;P;L-S-01,L-S-02,L-01,L-03,L-11
SO.L.+;P;L-S-01,L-S-02,L-01,L-03,L-11
FCR.T.?;P;A-2-02,A-B-02,A-S-02
