CodigoGrupo;Sentido;CodigoAula
MP.L.+;P;L-05
AMD.L.+;P;L-05
DPPI.L.+;P;L-05
ASLEPI.L.+;P;L-05
CN.L.+;P;L-05
Alg.L.+;P;L-05
ASW.T.?;N;A-2-02
