CodigoGrupo;Sentido;CodigoAula
CVVS.L.+;P;L-05
SEV.L.*;P;L-S-02
RAA.L.*;P;L-S-02
IA.L.*;P;L-S-02
AL.T.*;P;L-15
SDM.L.*;N;L-04
Emp.L.?;N;L-32
ED.L.*;P;L-13
SEW.T.+;P;A-2-02
