CodigoGrupo;Sentido;CodigoAula
MP.L.+;P;L-05
AMD.L.+;P;L-05
DPPI.L.+;P;L-05
ASLEPI.L.+;P;L-05
CPM.L.+;P;L-05
Alg.L.+;P;L-05
