CodigoGrupo;CodigoAula
DLP.L.I-3;L-01
DLP.L.I-4;L-01
DLP.S.1;A-2-02
DLP.S.2;A-2-01
DLP.S.3;A-B-02
DLP.S.4;A-B-01
DLP.S.I-1;A-2-01
DLP.S.I-2;A-B-01
DLP.T.1;A-2-01
DLP.T.2;A-2-02
DLP.T.I-1;A-B-02
SDI.L.1;L-12
SDI.L.10;L-03
SDI.L.2;L-01
SDI.L.3;L-01
SDI.L.4;L-01
SDI.L.5;L-01
SDI.L.6;L-03
SDI.L.7;L-03
SDI.L.8;L-01
SDI.L.9;L-12
SDI.S.1;A-B-01
SDI.S.2;A-S-02
SDI.S.3;A-B-02
SDI.S.4;A-B-01
SDI.T.1;A-2-02
SDI.T.2;A-S-02
SSI.L.1;L-31
SSI.L.2;L-31
SSI.L.3;L-05
SSI.L.4;L-05
SSI.L.5;L-S-01
SSI.L.6;L-05
SSI.L.I-1;L-05
SSI.L.I-2;L-S-01
SSI.L.I-3;L-05
SSI.S.1;A-2-02
SSI.S.2;A-S-02
SSI.S.I-1;A-B-02
SSI.S.I-2;A-B-01
SSI.T.1;A-S-02
SSI.T.I-1;A-B-02
ASLEPI.L.1;L-05
ASLEPI.L.2;L-05
ASLEPI.L.3;L-12
ASLEPI.L.4;L-12
ASLEPI.L.5;L-12
ASLEPI.L.6;L-05
ASLEPI.L.7;L-05
ASLEPI.S.1;A-S-02
ASLEPI.S.2;A-B-02
ASLEPI.S.3;A-S-01
ASLEPI.T.1;A-B-01
ASLEPI.T.2;A-S-02
DPPI.L.1;L-13
DPPI.L.2;L-12
DPPI.L.3;L-02
DPPI.L.4;L-12
DPPI.L.5;L-02
DPPI.L.6;L-S-01
DPPI.L.7;L-S-01
DPPI.S.1;A-S-02
DPPI.S.2;A-B-02
DPPI.S.3;A-S-01
DPPI.T.1;A-B-01
DPPI.T.2;A-S-02

