Codigo;Curso;Semestre
AL;1;1
Cal;1;1
Emp;1;1
FI;1;1
IP;1;1
AC;2;1
Com;2;1
CPM;2;1
ED;2;1
TEC;2;1
DS;3;1
IPS;3;1
RI;3;1
SEW;3;1
CVVS;4;1
IR;4;1
SI;4;1
IA;O;1
IFA;O;1
IAE;O;1
RAA;O;1
SIW;O;1
SEV;O;1
SDM;O;1
SR;O;1
